BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,language
0.02328159645232816,6.747638326585695e-4,0,0.002592016588906169,7.785130400934215e-4,0.0010604453870625664,0.0049157303370786515,6.377551020408163e-4,0.00472972972972973,0.015556938394523958,0.0055671537926235215,0.0044994375703037125,0,0,9.98003992015968e-4,0.0014534883720930232,0.003080082135523614,0.0010204081632653062,0.001084010840108401,6.648936170212766e-4,6.920415224913495e-4,0,0,0.0011242270938729624,0.0022560631697687537,0.004142931123770067,0.005470459518599562,Arabic
0,0,0,0,0,0,0,6.377551020408163e-4,0.010810810810810811,6.222775357809583e-4,0.007654836464857342,0,0,0,0,0.002180232558139535,0,0,0,0.0026595744680851063,6.920415224913495e-4,0,0,5.621135469364812e-4,0,0,0,Basque
0.0016629711751662971,0.6707152496626181,0,5.184033177812338e-4,0,0.0010604453870625664,0,0.00701530612244898,0.0013513513513513514,0,0.0013917884481558804,0.0022497187851518562,0.0015045135406218655,0,0,0.0014534883720930232,0.002053388090349076,0.0010204081632653062,0.0016260162601626016,0,6.920415224913495e-4,0,0,5.621135469364812e-4,0,0,0.0010940919037199124,Bulgarian
0,0,0,0,0,0,7.022471910112359e-4,0,0.12162162162162163,6.222775357809583e-4,0,0,0,0,9.98003992015968e-4,0,0,5.102040816326531e-4,0.002168021680216802,0.0019946808510638296,6.920415224913495e-4,0,0,0,0.001692047377326565,0,0.002188183807439825,Catalan
0.0011086474501108647,0,0,0,0.0011677695601401323,5.302226935312832e-4,0.0014044943820224719,0,6.756756756756757e-4,0.0012445550715619166,0,0,5.015045135406219e-4,0,9.98003992015968e-4,0,0,5.102040816326531e-4,0.001084010840108401,0,0.001384083044982699,0,0,0,0,0,0.002735229759299781,Chinese
0.0022172949002217295,0.001349527665317139,0,5.184033177812338e-4,7.785130400934215e-4,0.0015906680805938495,7.022471910112359e-4,0.0012755102040816326,0,0.0012445550715619166,0,0,0,0,9.98003992015968e-4,0.003633720930232558,0,0.0010204081632653062,0.011924119241192412,0,0.0034602076124567475,0,0.17420696827873114,5.621135469364812e-4,0,5.178663904712584e-4,0.0010940919037199124,Croatian
0,0,0.6602393617021277,0,0.0011677695601401323,5.302226935312832e-4,0,6.377551020408163e-4,0,0,0,0.0011248593925759281,5.015045135406219e-4,5.073566717402334e-4,9.98003992015968e-4,0,0,5.102040816326531e-4,0.0016260162601626016,0.003324468085106383,0.01245674740484429,0,0,0.18324901630129287,0,0.0010357327809425167,0.002188183807439825,Czech
0.0022172949002217295,0,0,0.5225505443234837,0.003892565200467108,0.0021208907741251328,0,0,0,0,0,0,0,0,0.001996007984031936,7.267441860465116e-4,0,0,5.420054200542005e-4,0,0.004152249134948097,0,0,0,0,0.004142931123770067,0.002188183807439825,Danish
0.37250554323725055,0,0,5.184033177812338e-4,0.00506033476060724,0,0.0028089887640449437,0,6.756756756756757e-4,0.002489110143123833,0,0,5.015045135406219e-4,0,0.010978043912175649,7.267441860465116e-4,0.001026694045174538,0.5076530612244898,0.0032520325203252032,0,0.002768166089965398,0,5.200208008320333e-4,0,0,0.0015535991714137752,0.0038293216630196935,Dutch
0.17904656319290466,0.13225371120107962,0.15824468085106383,0.4199066874027994,0.30089528999610743,0.1702014846235419,0.6924157303370787,0.31313775510204084,0.1,0.22962041070317363,0.21572720946416143,0.39707536557930256,0.09027081243731194,0.10603754439370877,0.07285429141716566,0.1257267441860465,0.4620123203285421,0.39693877551020407,0.3842818428184282,0.18882978723404256,0.17093425605536333,0.18360655737704917,0.20124804992199688,0.09668353007307476,0.32430908065425834,0.43656136716727084,0.7029540481400438,English
0,0,0,0,7.785130400934215e-4,0.46977730646871685,0.0014044943820224719,6.377551020408163e-4,0,0,0,0,5.015045135406219e-4,0.0010147133434804667,0,0,0,0,0,0,0.01314878892733564,0,0,0,0.0056401579244218835,0,0.0016411378555798686,Estonian
0.0011086474501108647,0,0,5.184033177812338e-4,0,0.030222693531283137,0,0,6.756756756756757e-4,0,0,0,0.0010030090270812437,5.073566717402334e-4,0.001996007984031936,0,0,0,0,0,0,0.0013114754098360656,0,0,0.5555555555555556,0.007767995857068877,0.0016411378555798686,Finnish
0.34811529933481156,0.005398110661268556,0.0019946808510638296,0.0036288232244686366,0.013623978201634877,0,0.06952247191011236,0.010841836734693877,0.03310810810810811,0.6372121966397013,0.03966597077244259,0.003374578177727784,0,0.0010147133434804667,0.30538922155688625,0.003633720930232558,0.002053388090349076,0.01020408163265306,0.004336043360433604,0.007313829787234043,0.06089965397923876,0.04131147540983607,0.0026001040041601664,0.0016863406408094434,0.00338409475465313,0.0010357327809425167,0.12417943107221006,French
0,0,0,0,0,0,0.0014044943820224719,0,0.03918918918918919,6.222775357809583e-4,0,0,0,0,0,0,0,0,5.420054200542005e-4,0,6.920415224913495e-4,0,0,0,0,5.178663904712584e-4,5.470459518599562e-4,Galician
0.018847006651884702,0.0155195681511471,0.05518617021276596,0.033696215655780196,0.5807707279096925,0.012725344644750796,0.020365168539325844,0.01403061224489796,0.006081081081081081,0.02924704418170504,0.009046624913013222,0.0022497187851518562,0.005516549648946841,0.009639776763064434,0.15768463073852296,0.09665697674418605,0,0.06581632653061224,0.5490514905149051,0.06515957446808511,0.004844290657439446,0.007868852459016393,0.08060322412896516,0.04384485666104553,0.0056401579244218835,0.01605385810460901,0.028446389496717725,German
0,0.010796221322537112,0,0,3.8925652004671076e-4,0,0,0.6294642857142857,0,6.222775357809583e-4,0,0.5635545556805399,0,0,0,7.267441860465116e-4,0,0,0.001084010840108401,0,6.920415224913495e-4,6.557377049180328e-4,0,0,0,5.178663904712584e-4,0.002735229759299781,Greek
0,0,0,0,0,0,7.022471910112359e-4,6.377551020408163e-4,0,0,0,0,0,0,0,0,0,5.102040816326531e-4,0.001084010840108401,0,0.002768166089965398,0,0,0,0,0,0.009299781181619256,Hindi
0.0016629711751662971,0,0,0,0.0011677695601401323,0,7.022471910112359e-4,0,6.756756756756757e-4,0,6.958942240779402e-4,0.0011248593925759281,0,0,0,0.7347383720930233,0,5.102040816326531e-4,0.004878048780487805,0,6.920415224913495e-4,0.06426229508196721,0.0010400416016640667,0.07869589657110736,0,0.002589331952356292,5.470459518599562e-4,Hungarian
0,6.747638326585695e-4,0,0,0,0,0.14536516853932585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013114754098360656,0,0,0,0,0.00437636761487965,Irish/Gaelic
0.01662971175166297,0.004723346828609987,0.0013297872340425532,0.0010368066355624676,0.007785130400934216,0,0.0049157303370786515,0.003826530612244898,0.002702702702702703,0.013690105787181083,0.7056367432150313,0,5.015045135406219e-4,0,0.03592814371257485,0.0029069767441860465,0.023613963039014373,5.102040816326531e-4,0.004878048780487805,0.003989361702127659,0.004152249134948097,0.021639344262295083,0.018200728029121163,0.0016863406408094434,0,0,0.009846827133479213,Italian
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.267441860465116e-4,0,0,0,0,0,0,0,0,0.001692047377326565,0,0.002735229759299781,Japanese
0,0,0,0,0,0,0,0,0,0,0,0,5.015045135406219e-4,0,0,0,0,0,0,6.648936170212766e-4,0,0,0,0,0,0,0.0016411378555798686,Korean
0,0,0,0,0,0.0021208907741251328,0.0028089887640449437,0,0,0,0,0,0.4719157472417252,0.0020294266869609334,0,0,0,0,0,0.0013297872340425532,0,0,0,0,0,0.0010357327809425167,0.002735229759299781,Latvian
0,0,0,0,0,0.0010604453870625664,0.0035112359550561797,0,0,0,0,0,0.0050150451354062184,0.5063419583967529,0,0,0,0,0,0,0,0,0,0,0,0,0.0032822757111597373,Lithuanian
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2954091816367265,0,0.001026694045174538,0,0,0,0,0,0,0,0,0,5.470459518599562e-4,Luxembourgish
0,0,0,0,0,5.302226935312832e-4,0,0,0,0,0,0,0,0,0,0,0.5010266940451745,0,0,0,0,0.0013114754098360656,0,0,0,0,5.470459518599562e-4,Maltese
0.0011086474501108647,6.747638326585695e-4,0.012632978723404254,0.0015552099533437014,0.014013234721681589,5.302226935312832e-4,0.018960674157303372,0.001913265306122449,6.756756756756757e-4,0.006222775357809583,0,0,0.004513540621865597,0.019279553526128868,0.001996007984031936,7.267441860465116e-4,0,5.102040816326531e-4,0.0016260162601626016,0.6316489361702128,0,6.557377049180328e-4,0,0.002810567734682406,0.001692047377326565,0.0015535991714137752,0.012582056892778994,Polish
0.003880266075388027,6.747638326585695e-4,0,0,7.785130400934215e-4,0,0.0014044943820224719,0,0.0033783783783783786,0.013067828251400125,6.958942240779402e-4,0,5.015045135406219e-4,0,0.09780439121756487,0,0,0.0020408163265306124,0,6.648936170212766e-4,0.6698961937716263,0.0019672131147540984,0,0,0,0,0.008205689277899343,Portuguese
0.0011086474501108647,0.0033738191632928477,0,0,0.003892565200467108,0.0015906680805938495,0.0014044943820224719,0.0031887755102040817,0.01891891891891892,0.002489110143123833,0.0020876826722338203,0.01124859392575928,0,0,9.98003992015968e-4,0.007267441860465116,0,0,0.001084010840108401,0,0.0034602076124567475,0.6485245901639344,0,0,0,0,0.002735229759299781,Romanian
0.002771618625277162,0.10998650472334683,0.03125,0,0.0397041650447645,0.3022269353128314,0.004213483146067416,0.007653061224489796,6.756756756756757e-4,6.222775357809583e-4,0.0013917884481558804,0.010123734533183352,0.4152457372116349,0.3526128868594622,0.001996007984031936,0.010901162790697675,0.002053388090349076,0,0.003794037940379404,0.08710106382978723,6.920415224913495e-4,0.011147540983606558,0.004160166406656267,0.03147835862844295,0.0056401579244218835,0,0.00437636761487965,Russian
0,0,0,0,0,0,7.022471910112359e-4,0,0,0,0,0,0,0,0,0,0.001026694045174538,0,0,0,0,0,5.200208008320333e-4,5.621135469364812e-4,0,0,0.002188183807439825,Scottish Gaelic
5.543237250554324e-4,0,0.07779255319148937,5.184033177812338e-4,0,0,0.002106741573033708,0,6.756756756756757e-4,0,0,0,0,0,0,0.00436046511627907,0.001026694045174538,0,0.0032520325203252032,6.648936170212766e-4,6.920415224913495e-4,0.0013114754098360656,0.0015600624024961,0.552557616638561,0,0,0,Slovak
0,0,0,0,0.0011677695601401323,0,0.002106741573033708,0,6.756756756756757e-4,0,6.958942240779402e-4,0,0,0,0,0,0,0,0.004336043360433604,6.648936170212766e-4,0,0,0.5127405096203849,0.002810567734682406,5.640157924421884e-4,0,0,Slovenian
0.008869179600886918,0.008097165991902834,0.0013297872340425532,0.0015552099533437014,0.00506033476060724,5.302226935312832e-4,0.012640449438202247,0.0012755102040816326,0.652027027027027,0.04169259489732421,0.009742519137091163,0,0.0015045135406218655,5.073566717402334e-4,0.005988023952095809,7.267441860465116e-4,0,0.006122448979591836,0.0032520325203252032,0.003324468085106383,0.03944636678200692,0.012459016393442624,0.0026001040041601664,0.0011242270938729624,0.001692047377326565,0.008803728638011392,0.026805251641137857,Spanish
5.543237250554324e-4,0,0,0.007257646448937273,0.0011677695601401323,5.302226935312832e-4,0,0.0012755102040816326,6.756756756756757e-4,0,0,0,0,0,0.003992015968063872,7.267441860465116e-4,0,5.102040816326531e-4,5.420054200542005e-4,0,0,0,0,0,0.08967851099830795,0.5121698601760746,5.470459518599562e-4,Swedish
0.012749445676274944,0.03508771929824561,0,0.002073613271124935,0.015959517321915143,5.302226935312832e-4,0,0.001913265306122449,0,0.0031113876789047915,0,0.003374578177727784,0,0,0,0,0,0.004081632653061225,0.008672086720867209,0,0,6.557377049180328e-4,0,0,5.640157924421884e-4,0,5.470459518599562e-4,Turkish
0,0,0,0.0015552099533437014,0,0,7.022471910112359e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01477024070021882,Urdu
0,0,0,0,0,5.302226935312832e-4,0.002106741573033708,0,0,0,0,0,0,5.073566717402334e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0087527352297593,Welsh
